"scope","path","status","ms","url","error"
"netdisk","/api/account/{account_id}/devices","404","116.2","http://127.0.0.1:18080/netdisk_api/api/account/1/devices",""
"netdisk","/api/device_history","200","138.4","http://127.0.0.1:18080/netdisk_api/api/device_history",""
"netdisk","/api/device_logs","200","74.2","http://127.0.0.1:18080/netdisk_api/api/device_logs",""
"netdisk","/api/auth/info","500","89.5","http://127.0.0.1:18080/netdisk_api/api/auth/info",""
"netdisk","/api/dashboard/summary","200","161.7","http://127.0.0.1:18080/netdisk_api/api/dashboard/summary",""
"netdisk","/api/auth/login-logs","200","320.1","http://127.0.0.1:18080/netdisk_api/api/auth/login-logs?limit=1&hours=1",""
"netdisk","/api/baidu/get_qr","200","16573","http://127.0.0.1:18080/netdisk_api/api/baidu/get_qr",""
"netdisk","/api/baidu/check_status","200","23.4","http://127.0.0.1:18080/netdisk_api/api/baidu/check_status?sign=1",""
"netdisk","/api/account/assign","200","79.5","http://127.0.0.1:18080/netdisk_api/api/account/assign",""
"netdisk","/api/cdkey/list","200","95.5","http://127.0.0.1:18080/netdisk_api/api/cdkey/list",""
"netdisk","/api/cdkey/redeem","404","76.8","http://127.0.0.1:18080/netdisk_api/api/cdkey/redeem?code=TESTCODE",""
"judian","/cdkey/redeem","404","82.6","http://127.0.0.1:18080/netdisk_api/judian_api/cdkey/redeem?code=TESTCODE&session=debug-session&refresh=0",""
"judian","/public/unlock/{session_id}","404","81.1","http://127.0.0.1:18080/netdisk_api/judian_api/public/unlock/debug-session",""
"judian","/public/unlock/{session_id}/batch","404","80.2","http://127.0.0.1:18080/netdisk_api/judian_api/public/unlock/debug-session/batch",""
"judian","/public/unlock/{session_id}/batch/preview","404","80","http://127.0.0.1:18080/netdisk_api/judian_api/public/unlock/debug-session/batch/preview?count=1&vip_id=1",""
"judian","/verify","200","75.5","http://127.0.0.1:18080/netdisk_api/judian_api/verify",""
"judian","/dashboard/summary","200","131.1","http://127.0.0.1:18080/netdisk_api/judian_api/dashboard/summary",""
"judian","/accounts","200","94.5","http://127.0.0.1:18080/netdisk_api/judian_api/accounts",""
"judian","/cards","200","94.5","http://127.0.0.1:18080/netdisk_api/judian_api/cards",""
"judian","/cards/{card_id}","404","93","http://127.0.0.1:18080/netdisk_api/judian_api/cards/1",""
"judian","/cdkeys","200","107.4","http://127.0.0.1:18080/netdisk_api/judian_api/cdkeys",""
"judian","/cdkeys/claim","404","96.2","http://127.0.0.1:18080/netdisk_api/judian_api/cdkeys/claim?accountId=1&cardId=1&count=1",""
"judian","/cdkeys/claim/text","404","94.2","http://127.0.0.1:18080/netdisk_api/judian_api/cdkeys/claim/text?accountId=1&cardId=1&count=1",""
