scope,method,path,url,status,ms,bytes,error
main,GET,/health,http://127.0.0.1:18080/health,200,34.2,182,
netdisk,GET,/netdisk_api/api/dashboard/summary,http://127.0.0.1:18080/netdisk_api/api/dashboard/summary,200,80.4,82,
netdisk,GET,/netdisk_api/api/auth/login-logs?limit=50&hours=1,http://127.0.0.1:18080/netdisk_api/api/auth/login-logs?limit=50&hours=1,200,199.7,266,
judian,GET,/netdisk_api/judian_api/verify,http://127.0.0.1:18080/netdisk_api/judian_api/verify,200,53.5,57,
judian,GET,/netdisk_api/judian_api/dashboard/summary,http://127.0.0.1:18080/netdisk_api/judian_api/dashboard/summary,200,159.5,5070,
judian,GET,/netdisk_api/judian_api/accounts,http://127.0.0.1:18080/netdisk_api/judian_api/accounts,200,71.0,1700,
judian,GET,/netdisk_api/judian_api/cards,http://127.0.0.1:18080/netdisk_api/judian_api/cards,200,69.9,22,
judian,GET,/netdisk_api/judian_api/cdkeys,http://127.0.0.1:18080/netdisk_api/judian_api/cdkeys,200,70.9,20124,
judian,GET,/netdisk_api/judian_api/cdkey/redeem?code=TESTCODE&session=debug-session&refresh=0,http://127.0.0.1:18080/netdisk_api/judian_api/cdkey/redeem?code=TESTCODE&session=debug-session&refresh=0,404,71.8,34,HTTP Error 404: Not Found
judian,GET,/netdisk_api/judian_api/public/unlock/debug-session,http://127.0.0.1:18080/netdisk_api/judian_api/public/unlock/debug-session,404,93.8,46,HTTP Error 404: Not Found
